"PARTY_ID","NAME_FULL","NAME_PREFIX","NAME_FIRST","NAME_MIDDLE","NAME_LAST","NAME_SUFFIX","NAME_TITLE","DELIVERY_ADDRESS1","DELIVERY_ADDRESS2","LOCALITY_COMPLETE","PROVINCE_COMPLETE","POSTCODE_COMPLETE","COUNTRY_ISO_3CHAR","PHONE","EMAIL","STATUS","TIER","DATE_OF_BIRTH","GENDER","CC_TYPE","CC_NUMBER","CC_EXPIRATION_DATE","CC_EXPIRED_DATE_INDICATOR","ADDRESS_VALIDATION_CODE","ADDRESS_VALIDATION_MESSAGE"
3349500,"Carilla Hirschler","","Carilla","","Hirschler","","","130 7TH AVE","","BROOKLYN","NY","11215-2201","USA","(718) 768-8317","carilla.hirschler@keyfoodstores.com","I","SILVER",16-AUG-92,"U","","",,"","C4","Corrected - all elements have been checked"
3364200,"Bainbrudge Toula","","Bainbrudge","","Toula","","","3151 WESTCHESTER AVE","","BRONX","NY","10461-4521","USA","(718) 824-2263","bt@keyfoodstores.com","A","GOLD",21-MAR-00,"U","","",,"","C4","Corrected - all elements have been checked"
3366300,"Dwain Demartino","Mr.","Dwain","","Demartino","","","751 LYDIG AVE","","BRONX","NY","10462-2146","USA","(718) 828-5191","dd@keyfoodstores.com","A","BRONZE",09-AUG-92,"M","","",,"","C4","Corrected - all elements have been checked"
3341100,"Hendrika Morillo","Ms.","Hendrika","","Morillo","","","9408 3RD AVE","","BROOKLYN","NY","11209-6804","USA","(718) 836-5545","hendrika.m@keyfoodstores.com","A","SILVER",29-MAR-00,"F","","",,"","C4","Corrected - all elements have been checked"
3372600,"Ludlew Juliar","","Ludlew","","Juliar","","","1050 WESTCHESTER AVE","","BRONX","NY","10459-2410","USA","(718) 860-2403","ludlew.juliar@keyfoodstores.com","A","SILVER",14-DEC-74,"U","","",,"","C4","Corrected - all elements have been checked"
3353700,"Danelle Yula","Ms.","Danelle","","Yula","","","102 MONTAGUE ST","","BROOKLYN","NY","11201-3403","USA","(718) 875-8121","danelle.yula@keyfoodstores.com","A","BRONZE",23-NOV-92,"F","","",,"","C4","Corrected - all elements have been checked"
3370500,"Su Rober","Ms.","Su","","Rober","","","4171 WHITE PLAINS RD","","BRONX","NY","10466-3011","USA","(718) 882-7265","su.r@keyfoodstores.com","A","GOLD",01-DEC-74,"F","","",,"","C4","Corrected - all elements have been checked"
3412500,"Rosalba Sharpley","Ms.","Rosalba","","Sharpley","","","3145 ANN ARBOR SALINE RD","","ANN ARBOR","MI","48103-9711","USA","(734) 769-7800","meijer@meijer.com","A","GOLD",11-JUL-92,"F","","",,"","C4","Corrected - all elements have been checked"
3679200,"Short Deyoe","","Short","","Deyoe","","","605 S RUM RIVER DR","","PRINCETON","MN","55371-2208","USA","(763) 389-1350","sdeyoe@cobornsinc.com","A","SILVER",06-APR-76,"U","","",,"","C4","Corrected - all elements have been checked"
3672900,"","","","","","","","5698 LA CENTRE AVE","","ALBERTVILLE","MN","55301-3972","USA","(763) 497-0182","jlauderback@cobornsinc.com","A","BRONZE",14-JUN-71,"U","","",,"","C4","Corrected - all elements have been checked"
890000,"Susan Parrott","Ms.","Susan","","Parrott","","","6625 THE CORNERS PKWY","","NORCROSS","GA","30092-3342","USA","(770) 446-0420","SusanParrott@alltel.com","A","SILVER",26-FEB-78,"F","","",,"","C4","Corrected - all elements have been checked"
240000,"Gale Boerrigter","Ms.","Gale","","Boerrigter","","CFO","6625 THE CORNERS PKWY","","NORCROSS","GA","30092-3342","USA","(770) 448-5210","GalEastBoerrigter@alltel.com","I","SILVER",14-FEB-83,"F","","",,"","C4","Corrected - all elements have been checked"
730000,"Ray Gunti","Mr.","Ray","","Gunti","","","6625 THE CORNERS PKWY","","NORCROSS","GA","30092-3342","USA","(770) 448-5210","RayGunti@alltel.com","I","BRONZE",10-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
770000,"Robert Cori","Mr.","Robert","","Cori","","","6625 THE CORNERS PKWY","","NORCROSS","GA","30092-3342","USA","(770) 448-5210","RobertCori@alltel.com","A","BRONZE",14-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
980000,"Wack Grogan","","Wack","","Grogan","","","6625 THE CORNERS PKWY","","NORCROSS","GA","30092-3342","USA","(770) 448-5210","WackGrogan@alltel.com","A","SILVER",07-MAR-78,"U","","",,"","C4","Corrected - all elements have been checked"
2767800,"Kinnie Salguero","","Kinnie","","Salguero","","","905 MASSACHUSETTS AVE","","ARLINGTON","MA","02476-4706","USA","(781) 646-3625","ks@stopandshop.com","A","GOLD",12-DEC-74,"U","","",,"","C4","Corrected - all elements have been checked"
2944200,"Emlyn Zhen","","Emlyn","","Zhen","","","55 RUSSELL ST","","WALTHAM","MA","02453-8517","USA","(781) 893-6776","emlyn.z@hannaford.com ","I","SILVER",24-SEP-88,"U","","",,"","C4","Corrected - all elements have been checked"
3565800,"Mrs Oritz","Mrs.","","","Oritz","","","182 SUMMER ST","","KINGSTON","MA","02364-1277","USA","(781) 585-7423","info@hannaford.com ","A","SILVER",15-DEC-74,"F","","",,"","C4","Corrected - all elements have been checked"
2940000,"Carter S. Awad","Mr.","Carter","S.","Awad","","","434 WALPOLE ST","","NORWOOD","MA","02062-3093","USA","(781) 769-0905","carter.a@hannaford.com ","A","SILVER",23-NOV-74,"M","","",,"","C4","Corrected - all elements have been checked"
270000,"Gary Carrer","Mr.","Gary","","Carrer","","","8108 DEERCREEK PL","","SPRINGFIELD","VA","22153-1927","USA","(800) 633-0773","","A","SILVER",10-SEP-88,"M","","",,"","C4","Corrected - all elements have been checked"
870000,"Shinn Lee","","Shinn","","Lee","","","2910 HIGHWAY 80 E","","PEARL","MS","39208-3409","USA","(800) 874-5649","","A","SILVER",24-FEB-78,"U","","",,"","C4","Corrected - all elements have been checked"
510000,"Joseph Cicero","Mr.","Joseph","","Cicero","","","3650 CLAYPOND RD","","MYRTLE BEACH","SC","29579-7326","USA","(803) 236-4100","","A","SILVER",15-DEC-85,"M","","",,"","C4","Corrected - all elements have been checked"
1032,"Arthur Nelson","Mr.","Arthur","","Nelson","","","3650 CLAYPOND RD","","MYRTLE BEACH","SC","29579-7326","USA","(803) 744-0150","ANelson@yahoo.com","A","SILVER",10-MAY-95,"M","Visa"," 4619-2010-3798-5875",01-APR-15,"","C4","Corrected - all elements have been checked"
970000,"Victor Corral","Mr.","Victor","","Corral","","","135 E ORTEGA ST","","SANTA BARBARA","CA","93101-1674","USA","(805) 963-1619","","A","SILVER",06-MAR-78,"M","","",,"","C4","Corrected - all elements have been checked"
560000,"Madonna Smeltzer","Ms.","Madonna","","Smeltzer","","","1350 E 17TH ST","","KANSAS CITY","MO","64108-1602","USA","(816) 346-0227","","A","BRONZE",20-DEC-85,"F","","",,"","C4","Corrected - all elements have been checked"
1132,"Tom Laccetti","Mr.","Tom","","Laccetti","","","8241 N MARSTON AVE","","KANSAS CITY","MO","64151-3729","USA","(816) 436-0058","TLaccetti@yahoo.com","A","BRONZE",16-MAR-93,"M","Laser"," 6706-2630-1033-2979",01-MAY-15,"","C4","Corrected - all elements have been checked"
1000000,"Wayne St Vincient","Mr.","Wayne","","St Vincient","","","8241 N MARSTON AVE","","KANSAS CITY","MO","64151-3729","USA","(816) 436-0058","","A","SILVER",09-MAR-78,"M","","",,"","C4","Corrected - all elements have been checked"
340000,"Harry McAleavy","Mr.","Harry","","McAleavy","","","2323 GRAND BLVD","","KANSAS CITY","MO","64108-2670","USA","(816) 474-2807","","A","BRONZE",13-SEP-03,"M","","",,"","C4","Corrected - all elements have been checked"
1049,"Elvin Smith","Mr.","Elvin","","Smith","","","6700 CORPORATE DR","","KANSAS CITY","MO","64120-2164","USA","(816) 483-6900","ASmith@gmail.com","A","BRONZE",04-SEP-00,"M","Mastercard"," 5299-2807-4980-9577",01-MAY-15,"","C4","Corrected - all elements have been checked"
1096,"Paul Somogye","Mr.","Paul","","Somogye","","","3130 BROADWAY ST","","KANSAS CITY","MO","64111-2593","USA","(816) 756-1060","PSomogye@gmail.com","A","BRONZE",15-MAY-77,"M","Diners Club Internat"," 36-0709-5017-2610",01-MAY-14,"","C4","Corrected - all elements have been checked"
660000,"Paul Somogye","Mr.","Paul","","Somogye","","","3130 BROADWAY ST","","KANSAS CITY","MO","64111-2593","USA","(816) 756-1060","","A","GOLD",03-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
810000,"Ronald Smith","Mr.","Ronald","","Smith","","","306 E 12TH ST STE 700","","KANSAS CITY","MO","64106-2401","USA","(816) 871-7130","","A","BRONZE",18-FEB-78,"M","","",,"","C2","Corrected - but delivery status unclear (lack of reference data)"
150000,"Craig Perkins","Mr.","Craig","","Perkins","","","2323 GRAND BLVD","","KANSAS CITY","MO","64108-2670","USA","(816) 881-6040","","I","SILVER",23-MAY-81,"M","","",,"","C4","Corrected - all elements have been checked"
570000,"Mark McNary","Mr.","Mark","","McNary","","","2323 GRAND BLVD","","KANSAS CITY","MO","64108-2670","USA","(816) 881-8582","","A","GOLD",21-DEC-85,"M","","",,"","C4","Corrected - all elements have been checked"
600000,"Neil Duddy","Mr.","Neil","","Duddy","","","2323 GRAND BLVD","","KANSAS CITY","MO","64108-2670","USA","(816) 881-8907","","A","GOLD",24-DEC-85,"M","","",,"","C4","Corrected - all elements have been checked"
1039,"Chris Storbeck","","Chris","","Storbeck","","","2559 HALL JOHNSON RD","","GRAPEVINE","TX","76051-8716","USA","(817) 291-9060","CStorbeck@hotmail.com","A","SILVER",19-JAN-90,"U","Maestro"," 67-6147-6674-6794",01-NOV-14,"","C4","Corrected - all elements have been checked"
120000,"Chris Storbeck","","Chris","","Storbeck","","","2559 HALL JOHNSON RD APT 1316","","GRAPEVINE","TX","76051-8705","USA","(817) 291-9060","ChrisStorbeck@ehpt.com","I","SILVER",14-MAR-86,"U","","",,"","C4","Corrected - all elements have been checked"
1046,"Donald Mulder","Mr.","Donald","","Mulder","","","1800 W CENTRAL RD","","MT PROSPECT","IL","60056-2230","USA","(847) 342-6987","DMulder@yahoo.com","I","SILVER",25-OCT-91,"M","Diners Club Carte Bl"," 30-2236-8273-5941",01-DEC-14,"","C4","Corrected - all elements have been checked"
190000,"Donald Mulder","Mr.","Donald","","Mulder","","","1800 W CENTRAL RD","","MT PROSPECT","IL","60056-2230","USA","(847) 342-6987","DonaldMulder@3com.com","I","SILVER",04-OCT-82,"M","","",,"","C4","Corrected - all elements have been checked"
3605700,"Oringas Dickey","","Oringas","","Dickey","","","100 S RANDALL RD","","ALGONQUIN","IL","60102-9774","USA","(847) 854-3245","oringas.d@co.uk","A","GOLD",06-DEC-74,"U","","",,"","C4","Corrected - all elements have been checked"
2765700,"","","","","","","","150 NEW PARK AVE","","HARTFORD","CT","06106-2159","USA","(860) 232-8777","afagg@stopandshop.com","A","BRONZE",08-JAN-93,"U","","",,"","C4","Corrected - all elements have been checked"
2763600,"Angella Alvino","Ms.","Angella","","Alvino","","","220 ROUTE 12","","GROTON","CT","06340-3414","USA","(860) 445-4440","aalvino@stopandshop.com","A","GOLD",19-OCT-74,"F","","",,"","C4","Corrected - all elements have been checked"
2732100,"Christoper Skyles","","Christoper","","Skyles","","","990 TORRINGFORD ST","","TORRINGTON","CT","06790-3542","USA","(860) 496-5051","cskyles@pricechopper.com","A","SILVER",29-NOV-74,"U","","",,"","C4","Corrected - all elements have been checked"
2725800,"Egbert Macaulay","Mr.","Egbert","","Macaulay","","","121 FARMINGTON AVE","","BRISTOL","CT","06010-4217","USA","(860) 582-2876","emacaulay@pricechopper.com","A","GOLD",08-SEP-92,"M","","",,"","C4","Corrected - all elements have been checked"
2730000,"Creigh Whitely","","Creigh","","Whitely","","","410 QUEEN ST","","SOUTHINGTON","CT","06489-1801","USA","(860) 621-2128","creigh_whitely@pricechopper.com","A","SILVER",18-APR-00,"U","","",,"","C4","Corrected - all elements have been checked"
2761500,"Marsha Burnside","Ms.","Marsha","","Burnside","","","55 OAK ST","","GLASTONBURY","CT","06033-2315","USA","(860) 652-8925","marsha.burnside@stopandshop.com","A","SILVER",08-OCT-92,"F","","",,"","C4","Corrected - all elements have been checked"
2727900,"Cida Dittmer","","Cida","","Dittmer","","","2985 BERLIN TPKE","","NEWINGTON","CT","06111-4601","USA","(860) 665-8342","cida.d@pricechopper.com","A","BRONZE",01-JAN-75,"U","","",,"","C4","Corrected - all elements have been checked"
630000,"Patrik Centillini","","Patrik","","Centillini","","","10440 N CENTRAL EXPY # 710","","DALLAS","TX","75231-2221","USA","(888) 404-3478","PatrikCentillini@ehpt.com","I","GOLD",27-DEC-85,"U","","",,"","C4","Corrected - all elements have been checked"
680000,"Per Scherdin","Mr.","Per","","Scherdin","","","10440 N CENTRAL EXPY # 710","","DALLAS","TX","75231-2221","USA","(888) 404-3478","PerScherdin@ehpt.com","I","SILVER",05-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
1116,"Sebastian Taylor","Mr.","Sebastian","","Taylor","","","10440 N CENTRAL EXPY","","DALLAS","TX","75231-2221","USA","(888) 404-6478","STaylor@gmail.com","A","SILVER",14-DEC-94,"M","Visa"," 4242-9344-8268-6789",01-MAY-15,"","C4","Corrected - all elements have been checked"
850000,"Sebastian Taylor","Mr.","Sebastian","","Taylor","","","10440 N CENTRAL EXPY # 710","","DALLAS","TX","75231-2221","USA","(888) 404-6478","SebastianTaylor@ehpt.com","A","BRONZE",22-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
940000,"Tom Still","Mr.","Tom","","Still","","","2002 PISGAH CHURCH RD STE 300","","GREENSBORO","NC","27455-3318","USA","(910) 282-3690","TomStill@vcela.com","A","SILVER",03-MAR-78,"M","","",,"","C4","Corrected - all elements have been checked"
590000,"Nancy Thomas","Ms.","Nancy","","Thomas","","","2002 PISGAH CHURCH RD STE 300","","GREENSBORO","NC","27455-3318","USA","(910) 545-2218","NancyThomas@vcela.com","A","GOLD",23-DEC-85,"F","","",,"","C4","Corrected - all elements have been checked"
1031,"Anthony Dillon","Mr.","Anthony","","Dillon","","","2002 PISGAH CHURCH RD","","GREENSBORO","NC","27455-3354","USA","(910) 545-2223","ADillon@aol.com","A","SILVER",25-APR-75,"M","JCB"," 3544-4377-8412-6493",01-AUG-14,"","C4","Corrected - all elements have been checked"
1095,"Paul Lindstrom","Mr.","Paul","","Lindstrom","","","701 N 7TH ST","","KANSAS CITY","KS","66101-3035","USA","(913) 573-5700","PLindstrom@gmail.com","A","SILVER",06-NOV-84,"M","InstaPayment"," 6385-6691-7722-1359",01-JUN-14,"","C4","Corrected - all elements have been checked"
650000,"Paul Lindstrom","Mr.","Paul","","Lindstrom","","","701 N 7TH ST","","KANSAS CITY","KS","66101-3035","USA","(913) 573-5700","","I","GOLD",02-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
2782500,"Geraldo Alfonso Batterton","Mr.","Geraldo","Alfonso","Batterton","","","10 S BEDFORD RD","","MOUNT KISCO","NY","10549-3408","USA","(914) 241-4907","gbatterton@stopandshop.com","A","BRONZE",12-JUN-71,"M","","",,"","C4","Corrected - all elements have been checked"
750000,"Rick Brattin","Mr.","Rick","","Brattin","","","7140 S LEWIS AVE","","TULSA","OK","74136-5437","USA","(918) 488-4007","RickBrattin@superstar.com","A","BRONZE",12-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
550000,"Libby Bender","Ms.","Libby","","Bender","","","7140 S LEWIS AVE","","TULSA","OK","74136-5437","USA","(918) 488-4014","LibbyBender@superstar.com","A","GOLD",19-DEC-85,"F","","",,"","C4","Corrected - all elements have been checked"
300000,"Gerald Parker","Mr.","Gerald","","Parker","","","7140 S LEWIS AVE","","TULSA","OK","74136-5437","USA","(918) 488-4020","GeraldParker@superstar.com","A","BRONZE",26-MAY-83,"M","","",,"","C4","Corrected - all elements have been checked"
380000,"Janet Allen","Ms.","Janet","","Allen","","","7140 S LEWIS AVE","","TULSA","OK","74136-5437","USA","(918) 488-4042","JanetAllen@superstar.com","A","SILVER",15-FEB-88,"F","","",,"","C4","Corrected - all elements have been checked"
2866500,"Stefano Drucker","Mr.","Stefano","","Drucker","","","500 SYLVAN AVE","","BRIDGEPORT","CT","06606-3017","USA","(203) 365-8555","sd@shaws.com","A","SILVER",29-OCT-77,"M","","",,"","C4","Corrected - all elements have been checked"
1390000,"Koy Cook","","Koy","","Cook","","","5000 BRADFORD DR NW","","HUNTSVILLE","AL","35805-1941","USA","(205) 430-7043","","A","SILVER",22-APR-79,"U","","",,"","C4","Corrected - all elements have been checked"
1380000,"Coy Cook","Mr.","Coy","","Cook","","","5000 BRADFORD DR NW","","HUNTSVILLE","AL","35805-1941","USA","(205) 430-8101","","A","SILVER",18-OCT-86,"M","","",,"","C4","Corrected - all elements have been checked"
1400000,"Marnell Ford","Mr.","Marnell","","Ford","","","5817 OLD LEEDS RD","","BIRMINGHAM","AL","35210-2164","USA","(205) 956-9537","","A","SILVER",01-SEP-00,"M","","",,"","C4","Corrected - all elements have been checked"
1410000,"Marynell Ford","Ms.","Marynell","","Ford","","","5817 OLD LEEDS RD","","BIRMINGHAM","AL","35210-2164","USA","(205) 956-9537","","A","SILVER",29-APR-83,"F","","",,"","C4","Corrected - all elements have been checked"
1160000,"Driveew Davies","Mr.","Driveew","","Davies","","","5400 CARILLON PT","","KIRKLAND","WA","98033-7357","USA","(206) 828-1328","","A","BRONZE",26-AUG-85,"M","","",,"","C4","Corrected - all elements have been checked"
1170000,"Andrew Davies","Mr.","Andrew","","Davies","","","5400 CARILLON PT","","KIRKLAND","WA","98033-7357","USA","(206) 828-1328","","A","BRONZE",02-FEB-78,"M","","",,"","C4","Corrected - all elements have been checked"
2883300,"","","","","","","","150 WESTERN AVE","","AUGUSTA","ME","04330-7241","USA","(207) 623-4520","kirk.b@shaws.com","A","SILVER",14-SEP-88,"U","","",,"","C4","Corrected - all elements have been checked"
2870700,"","","","","","","","46 SPRINGER DR","","BANGOR","ME","04401-3621","USA","(207) 942-1608","urial.f@shaws.com","A","GOLD",08-DEC-74,"U","","",,"","C4","Corrected - all elements have been checked"
1530000,"Marge O'Brien","Ms.","Marge","","O'Brien","","","14 HORATIO ST # F","","NEW YORK","NY","10014-1652","USA","(212) 727-9755","","A","GOLD",16-MAR-93,"F","","",,"","C4","Corrected - all elements have been checked"
1150000,"Carla Rother","Ms.","Carla","","Rother","","","4650 W SUNSET BLVD MS 93","","LOS ANGELES","CA","90027-6062","USA","(213) 669-5665","","A","BRONZE",12-JUN-92,"F","","",,"","C2","Corrected - but delivery status unclear (lack of reference data)"
1120000,"Virginia Daily","Ms.","Virginia","","Daily","","","208 S AKARD ST # 5","","DALLAS","TX","75202-4206","USA","(214) 464-5791","","A","BRONZE",19-JAN-90,"F","","",,"","C2","Corrected - but delivery status unclear (lack of reference data)"
1130000,"Gini Daily","Ms.","Gini","","Daily","","","208 S AKARD ST STE 5","","DALLAS","TX","75202-4206","USA","(214) 464-5791","","I","BRONZE",,"F","","",,"","C2","Corrected - but delivery status unclear (lack of reference data)"
1280000,"Phanie Sundheim","","Phanie","","Sundheim","","","90 INVERNESS CIR E","","ENGLEWOOD","CO","80112-5317","USA","(303) 799-0222","","A","SILVER",21-JUL-90,"U","","",,"","C4","Corrected - all elements have been checked"
1240000,"Dick Block","Mr.","Dick","","Block","","","2910 NEILSON WAY UNIT 503","","SANTA MONICA","CA","90405-5368","USA","(310) 452-3355","","A","SILVER",20-JAN-95,"M","","",,"","C4","Corrected - all elements have been checked"
1190000,"Betsy Murphy","Ms.","Betsy","","Murphy","","","4501 INTELCO LOOP SE","","OLYMPIA","WA","98503-5941","USA","(360) 493-6000","bmurphy@illuminetss7.com","A","BRONZE",29-OCT-91,"F","","",,"","C4","Corrected - all elements have been checked"
2879100,"Macie Keogh","Ms.","Macie","","Keogh","","","99 E MAIN RD","","MIDDLETOWN","RI","02842-4983","USA","(401) 848-7560","info@shaws.com","A","BRONZE",23-SEP-92,"F","","",,"","C4","Corrected - all elements have been checked"
1470000,"Tony Bird","Mr.","Tony","","Bird","","","4300 FORTUNE PL STE A","","W MELBOURNE","FL","32904-1527","USA","(407) 725-8000","","A","GOLD",26-AUG-78,"M","","",,"","C4","Corrected - all elements have been checked"
1480000,"Anthony Bird","Mr.","Anthony","","Bird","","","4300 FORTUNE PL STE A","","MELBOURNE","FL","32904-1527","USA","(407) 725-8000","","A","GOLD",11-NOV-83,"M","","",,"","C4","Corrected - all elements have been checked"
1500000,"R Shmidt","","R","","Shmidt","","","1 MOBAY RD","","PITTSBURGH","PA","15205-9740","USA","(412) 777-2439","","A","GOLD",18-APR-87,"U","","",,"","C4","Corrected - all elements have been checked"
2877000,"","","","","","","","276 W MAIN ST","","HILLSBOROUGH","NH","03244-5224","USA","(603) 464-5110","corilla.s@shaws.com","A","GOLD",07-NOV-77,"U","","",,"","C4","Corrected - all elements have been checked"
2874900,"Aphrodite Mantell","Ms.","Aphrodite","","Mantell","","","1400 LAKE SHORE RD","","GILFORD","NH","03249-2249","USA","(603) 528-2929","amantell@shaws.com","A","SILVER",28-JUN-92,"F","","",,"","C4","Corrected - all elements have been checked"
