"PARTY_ID","NAME","ADDRESS","ADDRESS2","CITY","STATE","ZIPCODE","COUNTRY","PHONE","EMAIL","STATUS","TIER","GENDER","DOB","CC_TYPE","CC_NUM","CC_EXP_DT"
3431400,"TERESE SHARPLEY","4500 S Hurstbourne Pkwy","","Louisville","KY","40299","US","(502) 493 4900 ","terese_sharpley@meijer.com","Active",2,"",27-SEP-88,"","",
3433500,"KY PIMENTAL","9500 Preston Hwy","","Louisville","KY","40229","US","(502) 962-3700 ","ky_pimental@meijer.com","LIVE",2,"",24-OCT-74,"","",
1080,"Karen Conklin","10365 SW Hoodview Drive","","Tigard","OR","97224","USA","(503) 598-4787","KConklin@gmail.com","LIVE",3,"",05-DEC-00,"Diners Club Internat"," 36-6540-6538-0281",01-OCT-14
530000,"Karen Conklin","10365 SW Hoodview Drive","","Tigard","OR","97224","United States","(503) 598-4787","","Incactive",2,"",17-DEC-85,"","",
2744700,"MS STALZER","240 East Main Street","","Marlborough","MA","1752","US","(508) 480-0109","info@pricechopper.com","LIVE",3,"",22-SEP-92,"","",
2751000,"CAROLE WHETSTINE (New Contact Required)","380 Maple Ave","","Shrewsbury","MA","1545","US","(508) 791-7142","info@pricechopper.com","LIVE",1,"",22-DEC-92,"","",
2769900,"VENA FRIEDLY","235 Old Connecticut Path","","Framingham","MA","170","US","(508) 820-0900","vena_friedly@stopandshop.com","I",3,"",12-OCT-77,"","",
2753100,"DEW ZAMOR","133 Main St","","Spencer","MA","1562","US","(508) 885 3199","dew_zamor@pricechopper.com","LIVE",1,"",22-MAR-00,"","",
3572100,"JAALA GILDEA","9 North Main Street","","Uxbridge","MA","1569","US","(508)278 2487 ","jaala_gildea@hannaford.com ","LIVE",2,"",22-JUN-92,"","",
3567900,"MS HASELHORST","7 Medway Road","","Milford","MA","1757","US","(508)422-9300 ","info@hannaford.com ","I",2,"",24-AUG-92,"","",
2952600,"MARILOU DECHICK","193 Boston Post Road West","","Marlborough","MA","1752","US","(508)480 9670","marilou.d@hannaford.com ","LIVE",1,"",20-MAR-00,"","",
3576300,"RAGNAR F. SEKERES","3 Merchants Way","","Middleboro","MA","2346","US","(508)947 4787 ","rs@hannaford.com ","LIVE",2,"",18-SEP-88,"","",
3427200,"PLACIDA PERSLEY","6325 S Gilmore Rd","","Fairfield","OH","45014","US","(513) 881-0100 ","placida_persley@meijer.com","Active",2,"",05-DEC-92,"","",
3389400,"KIEL OATMAN","696 Dogwood Ave","","Franklin Square","NY","11010","US","(516) 486-0607 ","ko@keyfoodstores.com","LIVE",2,"",16-JAN-75,"","",
1113,"Sam Mcbrier","30 Voice Road","","Carle Place","NY","11514","","(516) 747-4030","SMcBrier@yahoo.com","LIVE",3,"",01-JUN-71,"Diners Club Internat"," 36-7973-1687-2414",01-JAN-13
820000,"Sam Lambra","30 Voice Road","","Carle Place","NY","11514","United States","(516) 747-4030","","A",3,"",19-FEB-78,"","",
3414600,"NOHEMI FRAWLEY","595 N Pine Rd","","Bay City","MI","48708","US","(517) 891-1500 ","nohemi_frawley@meijer.com","LIVE",3,"",21-SEP-92,"","",
1082,"Larry Lindner","2910 Highway 80 E","","Pearl","MS","39208","US","(601) 932-4461","LLindner@aol.com","LIVE",2,"",21-JUL-94,"Visa Electron"," 4508-6972-3744-1771",01-NOV-12
540000,"Larry Lindner","2910 Highway 80 E","","Pearl","MS","39208","United States","(601) 932-4461","","LIVE",2,"",18-DEC-85,"","",
2937900,"ARLA DEEDS","7747 Bridge Street","","Pelham","NH","3076","US","(603)635 3001","arla.d@hannaford.com ","LIVE",1,"",,"","",
3570000,"ROSAMARIA RADEL","150 Bridge Street","","Pelham","NH","3076","US","(603)635 3001 ","rr@hannaford.com ","LIVE",3,"",17-SEP-92,"","",
3683400,"KARY ASCANI","1800 North Main","","Mitchell","SD","57301","US","(605) 996-5593","coborns@cobornsinc.com","LIVE",2,"",15-JAN-75,"","",
1034,"Robert Banbridge","4113 James Cir","","","MN","55112","US","(612) 628-0015","RBanbridge@aol.com","LIVE",1,"Male",29-OCT-91,"Visa"," 4713-2133-3701-1950",01-DEC-13
5170,"Bob Bainbridge","4113 James Cir","","","MN","55112","US","(612) 628-0015","RBainbridge@aol.com","LIVE",1,"Male",29-OCT-91,"Visa"," 4713-2133-3701-1950",01-DEC-13
1124,"Thomas Key","200 Debusk Ln","","Powell","TN","37849","U.S.A.","(615) 938-7828","TKey@yahoo.com","LIVE",3,"",10-OCT-77,"JCB"," 3569-3374-7322-5368",01-APR-14
930000,"Thomas Key","200 Debusk Ln","","Powell","TN","37849","United States","(615) 938-7828","","A",2,"",02-MAR-78,"","",
1051,"Fred Healy","77 North Washington Street","","Boston","MA","2114","","(617) 367-0500","FHealy@yahoo.com","LIVE",1,"",29-APR-83,"Diners Club Carte Bl"," 30-4472-8133-6054",01-MAY-14
230000,"Fred Healy","77 North Washington Street","Suite 4","Boston","MA","2114","United States","(617) 367-0500","FredHealy@wiltelIncorporated.com","LIVE",2,"",02-OCT-92,"","",
2774100,"MINERVA MALCHOW","460 Blue Hill Avenue","","Roxbury","MA","2121","US","(617) 427-6752 ","super stop & shop@stopandshop.com","LIVE",2,"",21-OCT-77,"","",
1055,"Gene Saftler","420 Bedford Street","","Lexington","MA","2420","","(617) 863-8588","ESaftler@yahoo.com","LIVE",3,"M",13-FEB-85,"Maestro"," 6761-0784-7953",01-MAY-13
280000,"Gene Perrinelli","420 Bedford Street","","Lexington","MA","2420","United States","(617) 863-8588","","LIVE",3,"",10-DEC-76,"","",
3385200,"GEN KOK","822 FORT SALONGA ROAD","","NORTHPONT","NY","11768","US","(631) 757-6600 ","gen.kok@keyfoodstores.com","LIVE",1,"",01-NOV-92,"","",
3345300,"ELVIA PEGRAM","3008 Fulton St","","Brooklyn","NY","11208","US","(718) 277-9733 ","elvia.p@keyfoodstores.com","LIVE",1,"",11-DEC-92,"","",
3360000,"STAN KANNE","8772 18th Ave","","Brooklyn","NY","11214","US","(718) 331-5080 ","sk@keyfoodstores.com","Incactive",2,"",19-OCT-77,"","",
3378900,"STANISLAW LEVINGER","20 20 New Haven Ave","","Far Rockaway","NY","11691","US","(718) 337 2740 ","slevinger@keyfoodstores.com","LIVE",2,"",20-SEP-88,"","",
3339000,"BRADLEE LECROY","29 Belmont Ave","","Brooklyn","NY","11212","US","(718) 345 8877 ","key food@keyfoodstores.com","LIVE",3,"",29-JUL-92,"","",
3343200,"PERL SWISHER","5101 Ave N","","Brooklyn","NY","11234","US","(718) 377 9112 ","perl_swisher@keyfoodstores.com","LIVE",3,"",28-OCT-74,"","",
3374700,"MIKAELA BATTERTON","357 St Nicholas Ave","","Ridgewood","NY","11385","","(718) 386 3854 ","key food@keyfoodstores.com","LIVE",3,"",26-APR-76,"","",
3381000,"LUIS RADY","213/22 Jamaica Ave","","Jamaica","NY","11428","US","(718) 468-8440 ","luis.rady@keyfoodstores.com","LIVE",3,"",16-APR-00,"","",
3376800,"JULIANA LIDE","105 38 Rockaway Beach Blvd","","Rockaway","NY","11694","US","(718) 474 2591 ","jl@keyfoodstores.com","LIVE",2,"",16-SEP-88,"","",
3355800,"BRINDA KILKER","800 Rockaway Ave","","Brooklyn","NY","11212","US","(718) 485-0169 ","key food@keyfoodstores.com","A",2,"",03-NOV-77,"","",
3362100,"DAVIS GINTHER","395 Court St","","Brooklyn","NY","11231","US","(718) 522-1376  ","dg@keyfoodstores.com","A",2,"",26-OCT-77,"","",
3347400,"GLENDORA CIRILO","169 Atlantic Ave","","Brooklyn","NY","11201","US","(718) 625 2253 ","gc@keyfoodstores.com","Incactive",1,"",17-JUL-92,"","",
3357900,"LOUISA OLIVO","2245 Gerritsen Ave","","Brooklyn","NY","11229","US","(718) 648-4565 ","louisa.olivo@keyfoodstores.com","LIVE",2,"",26-NOV-92,"","",
3351600,"HARMONY VALVO","589 Prospect Ave","","Brooklyn","NY","11215","US","(718) 768 1025 ","harmony.valvo@keyfoodstores.com","LIVE",3,"",05-APR-00,"","",
3349500,"CARILLA HIRSCHLER","130 7th Ave","","Brooklyn","NY","11215","US","(718) 768 8317 ","carilla.hirschler@keyfoodstores.com","Incactive",2,"",16-AUG-92,"","",
3364200,"BAINBRUDGE TOULA","3151 Westchester Ave","","Bronx","NY","10461","US","(718) 824 2263 ","bt@keyfoodstores.com","LIVE",1,"",21-MAR-00,"","",
3366300,"DWAIN DEMARTINO","751 Lydig Ave","","Bronx","NY","10462","US","(718) 828 5191 ","dd@keyfoodstores.com","LIVE",3,"",09-AUG-92,"","",
3341100,"HENDRIKA MORILLO","9408 3rd Ave","","Brooklyn","NY","11209","US","(718) 836 5545 ","hendrika.m@keyfoodstores.com","LIVE",2,"",29-MAR-00,"","",
3383100,"FRONNIA OBER","16 Liberty Ave","","Jamaica","NY","11419","US","(718) 843-0654 ","key food@keyfoodstores.com","Incactive",3,"",19-NOV-92,"","",
3372600,"LUDLEW JULIAR","1050 Westchester Ave","","Bronx","NY","10459","US","(718) 860-2403 ","ludlew.juliar@keyfoodstores.com","Active",2,"",14-DEC-74,"","",
3353700,"DANELLE YULA","102 MONTAGUE ST","","BROOKLYN","NY","11201","US","(718) 875-8121 ","danelle.yula@keyfoodstores.com","LIVE",3,"",23-NOV-92,"","",
3370500,"SU ROBER","4171 White Plains Rd","","Bronx","NY","10466","US","(718) 882-7265 ","su.r@keyfoodstores.com","LIVE",1,"",01-DEC-74,"","",
3412500,"ROSALBA SHARPLEY","3145 Ann Arbor Saline Rd","","Ann Arbor","MI","48103","US","(734) 769-7800 ","meijer@meijer.com","LIVE",1,"",11-JUL-92,"","",
3679200,"SHORT DEYOE","605 Rum River Dr S","","Princeton","MN","55371","USA","(763) 389-1350","sdeyoe@cobornsinc.com","LIVE",2,"",06-APR-76,"","",
3672900,"JANIA W.R. LAUDERBACK","5698 Lacentre Ave Ne","","Albertville","MN","55301","United States","(763) 497 0182","jlauderback@cobornsinc.com","LIVE",3,"",14-JUN-71,"","",
890000,"Susan Parrott","6625 The Corners Parkway","","Norcross","GA","30092","United States","(770) 446-0420","SusanParrott@alltel.com","LIVE",2,"",26-FEB-78,"","",
240000,"Gale Boerrigter CFO","6625 The Corners Parkway","","Norcross","GA","30092","United States","(770) 448-5210","GalEastBoerrigter@alltel.com","I",2,"",14-FEB-83,"","",
730000,"Ray Gunti","6625 The Corners Parkway","","Norcross","GA","30092","United States","(770) 448-5210","RayGunti@alltel.com","I",3,"",10-FEB-78,"","",
770000,"Robert Cori","6625 The Corners Parkway","","Norcross","GA","30092","United States","(770) 448-5210","RobertCori@alltel.com","LIVE",3,"",14-FEB-78,"","",
980000,"Wack Grogan","6625 The Corners Parkway","","Norcross","GA","30092","United States","(770) 448-5210","WackGrogan@alltel.com","LIVE",2,"",07-MAR-78,"","",
2767800,"KINNIE SALGUERO","905 Massachusetts Avenue","","Arlington","MA","2174","US","(781) 646-3625","ks@stopandshop.com","A",1,"",12-DEC-74,"","",
3574200,"MINICA SAXBY","545 Russell Street","","Waltham","MA","2453","US","(781) 893 6776 ","minica.s@hannaford.com ","LIVE",2,"",04-OCT-92,"","",
2944200,"EMLYN ZHEN","55 Russell Street","","Waltham","MA","2453","US","(781) 893-6776","emlyn.z@hannaford.com ","Incactive",2,"",24-SEP-88,"","",
3565800,"MRS ORITZ","182 Summer Street","","Kingston","MA","2364","US","(781)585 7423 ","info@hannaford.com ","LIVE",2,"",15-DEC-74,"","",
2940000,"CARTER S. AWAD","434 Walpole Street","","Norwood","MA","2062","US","(781)769 0905 ","carter.a@hannaford.com ","LIVE",2,"",23-NOV-74,"","",
1053,"Gary Carrer","8108 Deercreek Place","","Springfield","VA","22153","","(800) 633-0773","GCarrer@hotmail.com","LIVE",3,"",20-JAN-95,"Diners Club Internat"," 36-2499-6921-2746",01-SEP-13
270000,"Gary Carrer","8108 Deercreek Place","","Springfield","VA","22153","United States","(800) 633-0773","","A",2,"",10-SEP-88,"","",
870000,"Shinn Lee","2910 Highway 80 E","","Pearl","MS","39208","United States","(800) 874-5649","","LIVE",2,"",24-FEB-78,"","",
1077,"Art Nelsen","3650 Claypond","","Myrtle Beach","SC","29579","US","(803) 236-4100","ANelsen@gmail.com","LIVE",1,"",18-APR-99,"Visa"," 4394-2237-1888-3147",01-MAR-13
510000,"Joseph Cicero","3650 Claypond ","","Myrtle Beach","SC","29579","United States","(803) 236-4100","","LIVE",2,"",15-DEC-85,"","",
1032,"Arthur Nelson","3650 Claypond Road","","Myrtle Beach","SC","29579","US","(803) 744-0150","ANelson@yahoo.com","LIVE",2,"",10-MAY-95,"Visa"," 4619-2010-3798-5875",01-APR-15
1129,"Victor Corral","135 East Ortega Street","","Santa Barbara","CA","93101","US","(805) 963-1619","VCorral@gmail.com","LIVE",1,"",21-JUL-90,"Visa Electron"," 4844-6048-7928-5717",01-FEB-14
970000,"Victor Corral","135 East Ortega Street","","Santa Barbara","CA","93101","United States","(805) 963-1619","","LIVE",2,"",06-MAR-78,"","",
1084,"Madonna Smeltzer","1350 East 17th Street","","Kansas City","MO","64108","U.S.","(816) 346-0227","MSmeltzer@hotmail.com","LIVE",2,"",25-JUN-91,"JCB"," 3572-7602-5082-4464",01-MAY-13
560000,"Madonna Smeltzer","1350 East 17th Street","","Kansas City","MO","64108","United States","(816) 346-0227","","LIVE",3,"",20-DEC-85,"","",
1132,"Tom Laccetti","8241 North Marston Avenue","","Kansas City","MO","64151","US","(816) 436-0058","TLaccetti@yahoo.com","LIVE",3,"",16-MAR-93,"Laser"," 6706-2630-1033-2979",01-MAY-15
1000000,"Wayne St VIncient","8241 North Marston Avenue","","Kansas City","MO","64151","United States","(816) 436-0058","","LIVE",2,"",09-MAR-78,"","",
340000,"Harry Mcaleavy","2323 Grand Blvd","","Kansas City","MO","64108","United States","(816) 474-2807","","A",3,"",13-SEP-03,"","",
1049,"Elvin Smith","6700 Corporate Drive","","Kansas City","MO","64120","U.S.","(816) 483-6900","ASmith@gmail.com","LIVE",3,"",04-SEP-00,"Mastercard"," 5299-2807-4980-9577",01-MAY-15
210000,"Elvin Smith","6700 Corporationorate Drive","","Kansas City","MO","64120","United States","(816) 483-6900","","LIVE",2,"",05-OCT-02,"","",
1096,"Paul Somogye","3130 Broadway Street","","Kansas City","MO","64111","US","(816) 756-1060","PSomogye@gmail.com","LIVE",3,"",15-MAY-77,"Diners Club Internat"," 36-0709-5017-2610",01-MAY-14
660000,"Paul Somogye","3130 Brdway Street","","Kansas City","MO","64111","United States","(816) 756-1060","","Active",1,"",03-FEB-78,"","",
1111,"Ronald Smith","306 East 12th Street","","Kansas City","MO","64106","US","(816) 871-7130","RSmith@aol.com","LIVE",2,"",31-JAN-95,"Discover Card"," 6221-3921-3432-7437",01-FEB-14
810000,"Ronald Smith","306 East 12th Street","Suite 700","Kansas City","MO","64106","United States","(816) 871-7130","","A",3,"",18-FEB-78,"","",
1042,"Craig Perkins","2323 Grand Blvd","","Kansas City","MO","64108","United States","(816) 881-6040","CPerkins@gmail.com","LIVE",2,"M",26-AUG-85,"Discover Card"," 6221-7544-5378-1850",01-OCT-12
150000,"Craig Perkins","2323 Grand Blvd","","Kansas City","MO","64108","United States","(816) 881-6040","","Incactive",2,"",23-MAY-81,"","",
1085,"Karen Perkins","2323 Grand Blvd","","Kansas City","MO","64108","US","(816) 881-8582","KPerkins@yahoo.com","LIVE",3,"",29-MAR-76,"Discover Card"," 6224-1885-8856-7743",01-JAN-13
570000,"Mark McNary","2323 Grand Blvd","","Kansas City","MO","64108","United States","(816) 881-8582","","LIVE",1,"",21-DEC-85,"","",
600000,"Neil Duddy","2323 Grand Blvd","","Kansas City","MO","64108","United States","(816) 881-8907","","LIVE",1,"",24-DEC-85,"","",
1039,"Chris Storbeck","2559 Hall Johnson Road","","Grapevine","TX","76051","US","(817) 291-9060","CStorbeck@hotmail.com","LIVE",2,"",19-JAN-90,"Maestro"," 67-6147-6674-6794",01-NOV-14
120000,"Chris Storbeck","2559 Hall Johnson Road","Apt 1316","Grapevine","TX","76051","United States","(817) 291-9060","ChrisStorbeck@ehpt.com","I",2,"",14-MAR-86,"","",
1046,"Donald Mulder","1800 W Central Road","","Mt Prospect","IL","60056","US","(847) 342-6987","DMulder@yahoo.com","Incactive",2,"M",25-OCT-91,"Diners Club Carte Bl"," 30-2236-8273-5941",01-DEC-14
190000,"Donald Mulder","1800 W Central Road","","Mt Prospect","IL","60056","United States","(847) 342-6987","DonaldMulder@3com.com","Incactive",2,"",04-OCT-82,"","",
3605700,"ORINGAS DICKEY","100 South Randall Road","","Algonquin","IL","60102","US","(847) 854-3245","oringas.d@co.uk","LIVE",1,"",06-DEC-74,"","",
2765700,"ANCILIN E.FAGG","150 New Park Avenue","","Hartford","CT","6106","US","(860) 232 8777 ","afagg@stopandshop.com","LIVE",3,"",08-JAN-93,"","",
2763600,"ANGELLA ALVINO","220 Route 12","","Groton","CT","6340","US","(860) 445-4440 ","aalvino@stopandshop.com","LIVE",1,"",19-OCT-74,"","",
2732100,"CHRISTOPER SKYLES","990 Torringford St","","Torrington","CT","6790","US","(860) 496-5051","cskyles@pricechopper.com","LIVE",2,"",29-NOV-74,"","",
2725800,"EGBERT MACAULAY","121 Farmington Ave","","Bristol","CT","6010","US","(860) 582 2876","emacaulay@pricechopper.com","A",1,"",08-SEP-92,"","",
2730000,"CREIGH WHITELY","410 Queen Street","","Southington","CT","6489","US","(860) 621-2128","creigh_whitely@pricechopper.com","LIVE",2,"",18-APR-00,"","",
2761500,"MARSHA BURNSIDE","55 Oak Street","","Glastonbury","CT","6033","US","(860) 652 8925 ","marsha.burnside@stopandshop.com","LIVE",2,"",08-OCT-92,"","",
2727900,"CIDA DITTMER","2985 Berlin Turnpike","","Newington","CT","611","US","(860) 665-8342","cida.d@pricechopper.com","LIVE",3,"",01-JAN-75,"","",
2759400,"MRS PAULETTA CAROLE SMTIH","248 Flanders Road","","East Lyme","CT","633","","(860) 691 2146 ","info@stopandshop.com","LIVE",2,"",23-APR-76,"","",
630000,"Patrik Centillini","10440 North Central Expy","# 710","Dallas","TX","75231","United States","(888) 404-3478","PatrikCentillini@ehpt.com","I",1,"",27-DEC-85,"","",
680000,"Per Scherdin","10440 North Central Expy","# 710","Plano","TX","75231","United States","(888) 404-3478","PerScherdin@ehpt.com","Incactive",2,"",05-FEB-78,"","",
1116,"Sebastian Taylor","10440 North Central Expy","","Dallas","TX","75231","US","(888) 404-6478","STaylor@gmail.com","LIVE",2,"",14-DEC-94,"Visa"," 4242-9344-8268-6789",01-MAY-15
850000,"Sebastian Taylor","10440 North Central Expy","# 710","Dallas","TX","75231","United States","(888) 404-6478","SebastianTaylor@ehpt.com","LIVE",3,"",22-FEB-78,"","",
1125,"Tom Still","","","","","","","(910) 282-3690","TStill@yahoo.com","LIVE",2,"",10-APR-96,"Discover Card"," 6222-7200-8639-2711",01-FEB-13
940000,"Tom Still","2002 Pisgah Church Road","Suite 300","Greensboro","NC","27455","United States","(910) 282-3690","TomStill@vcela.com","A",2,"",03-MAR-78,"","",
1089,"Kay Dillon","2002 Pisgah Church Road","","Greensboro","NC","27455","","(910) 545-2218","KDillon@gmail.com","LIVE",1,"",08-NOV-90,"Diners Club US and C"," 5566-9598-2326-5642",01-AUG-14
590000,"Nancy Thomas","2002 Pisgah Church Road","Suite 300","Greensboro","NC","27455","United States","(910) 545-2218","NancyThomas@vcela.com","LIVE",1,"",23-DEC-85,"","",
1031,"Anthony Dillon","2002 Pisgah Church Road","","Greenspring","NC","27455","US","(910) 545-2223","ADillon@aol.com","LIVE",2,"",25-APR-75,"JCB"," 3544-4377-8412-6493",01-AUG-14
1095,"Paul Lindstrom","701 North 7th Street","","Kansas City","KS","66101","U.S.A.","(913) 573-5700","PLindstrom@gmail.com","LIVE",2,"",06-NOV-84,"InstaPayment"," 6385-6691-7722-1359",01-JUN-14
650000,"Paul Lindstrom","701 North 7th Street","","Kansas City","KS","66101","United States","(913) 573-5700","","I",1,"",02-FEB-78,"","",
2782500,"GERALDO ALFONSO BATTERTON","10 South Bedford Road","","Mount Kisco","NY","10549","United States","(914) 241-4907 ","gbatterton@stopandshop.com","LIVE",3,"",12-JUN-71,"","",
1106,"Rick Bender","7140 South Lewis Avenue","","Tulsa","OK","74136","USA","(918) 488-4007","RBender@yahoo.com","LIVE",1,"",18-MAR-71,"Visa Electron"," 4844-3097-4785-8816",01-SEP-13
5530,"Richard Bender","7140 South Lewis Avenue","","Tulsa","OK","74136","USA","(918) 488-4007","RBender@yahoo.com","LIVE",2,"",18-MAR-71,"Visa Electron"," 4844-3097-4785-8816",01-SEP-13
750000,"Rick Brattin","7140 South Lewis Avenue","","Tulsa","OK","74136","United States","(918) 488-4007","RickBrattin@superstar.com","A",3,"",12-FEB-78,"","",
1083,"Libby Bender","7140 South Lewis","","Tulsa","OK","74136","US","(918) 488-4014","EBender@gmail.com","LIVE",1,"",10-JAN-87,"Visa"," 4825-3337-7496-3821",01-DEC-12
5415,"Elizabeth Bender","7140 South Lewis","","Tulsa","OK","74136","US","(918) 488-4014","EBender@gmail.com","LIVE",1,"",10-JAN-87,"Visa"," 4825-3337-7496-3821",01-DEC-12
